$ /home/nicolas/anaconda3/envs/testenv/bin/python /home/nicolas/Documents/OptML_project/create_success_graphs.py
[2020-05-24 14:14:13] [ INFO ] : Removing old files.. 
[2020-05-24 15:54:36] [ INFO ] : Benchmarking with 209 particles 
[2020-05-24 15:55:26] [ INFO ] : Benchmarking with 210 particles 
[2020-05-24 15:56:12] [ INFO ] : Benchmarking with 211 particles 
[2020-05-24 15:57:00] [ INFO ] : Benchmarking with 212 particles 
[2020-05-24 15:57:50] [ INFO ] : Benchmarking with 213 particles 
[2020-05-24 15:58:42] [ INFO ] : Benchmarking with 214 particles 
[2020-05-24 15:59:33] [ INFO ] : Benchmarking with 215 particles 
[2020-05-24 16:00:29] [ INFO ] : Benchmarking with 216 particles 
[2020-05-24 16:01:25] [ INFO ] : Benchmarking with 217 particles 
[2020-05-24 16:02:18] [ INFO ] : Benchmarking with 218 particles 
[2020-05-24 16:03:06] [ INFO ] : Benchmarking with 219 particles 
[2020-05-24 16:03:58] [ INFO ] : Benchmarking with 220 particles 
[2020-05-24 16:04:52] [ INFO ] : Benchmarking with 221 particles 
[2020-05-24 16:05:39] [ INFO ] : Benchmarking with 222 particles 
[2020-05-24 16:06:28] [ INFO ] : Benchmarking with 223 particles 
[2020-05-24 16:07:20] [ INFO ] : Benchmarking with 224 particles 
[2020-05-24 16:08:14] [ INFO ] : Benchmarking with 225 particles 
[2020-05-24 16:09:02] [ INFO ] : Benchmarking with 226 particles 
[2020-05-24 16:09:50] [ INFO ] : Benchmarking with 227 particles 
[2020-05-24 16:10:37] [ INFO ] : Benchmarking with 228 particles 
[2020-05-24 16:11:30] [ INFO ] : Benchmarking with 229 particles 
[2020-05-24 16:12:25] [ INFO ] : Benchmarking with 230 particles 
[2020-05-24 16:13:23] [ INFO ] : Benchmarking with 231 particles 
[2020-05-24 16:14:26] [ INFO ] : Benchmarking with 232 particles 
[2020-05-24 16:15:20] [ INFO ] : Benchmarking with 233 particles 
[2020-05-24 16:16:15] [ INFO ] : Benchmarking with 234 particles 
[2020-05-24 16:17:09] [ INFO ] : Benchmarking with 235 particles 
[2020-05-24 16:18:02] [ INFO ] : Benchmarking with 236 particles 
[2020-05-24 16:18:53] [ INFO ] : Benchmarking with 237 particles 
[2020-05-24 16:19:48] [ INFO ] : Benchmarking with 238 particles 
[2020-05-24 16:20:41] [ INFO ] : Benchmarking with 239 particles 
[2020-05-24 16:21:46] [ INFO ] : Benchmarking with 240 particles 
[2020-05-24 16:22:45] [ INFO ] : Benchmarking with 241 particles 
[2020-05-24 16:23:49] [ INFO ] : Benchmarking with 242 particles 
[2020-05-24 16:24:43] [ INFO ] : Benchmarking with 243 particles 
[2020-05-24 16:25:34] [ INFO ] : Benchmarking with 244 particles 
[2020-05-24 16:26:32] [ INFO ] : Benchmarking with 245 particles 
[2020-05-24 16:27:40] [ INFO ] : Benchmarking with 246 particles 
[2020-05-24 16:28:37] [ INFO ] : Benchmarking with 247 particles 
[2020-05-24 16:29:33] [ INFO ] : Benchmarking with 248 particles 
[2020-05-24 16:30:33] [ INFO ] : Benchmarking with 249 particles 
[2020-05-24 16:31:39] [ INFO ] : Benchmarking with 250 particles 
[2020-05-24 16:32:38] [ INFO ] : Benchmarking with 251 particles 
[2020-05-24 16:33:27] [ INFO ] : Benchmarking with 252 particles 
[2020-05-24 16:34:20] [ INFO ] : Benchmarking with 253 particles 
[2020-05-24 16:35:22] [ INFO ] : Benchmarking with 254 particles 
